Category,Scope of Work,Checklist,Sector
Pre-Award,08 81 00 Glass and Glazing,"Glass spandrels, degree of flatness to prevent distortion, use non-reflective finish.",General
Pre-Award,08 81 00 Glass and Glazing,Glazing clips.,General
Pre-Award,08 81 00 Glass and Glazing,"Glazing material and method, any question by subcontractor as to adequacy. Location and size of blocking. Demonstration in field to all parties?",General
Pre-Award,08 81 00 Glass and Glazing,Guarantee against air leakage – double glazed units.,General
Pre-Award,08 81 00 Glass and Glazing,Interior to exterior glazing.,General
Pre-Award,08 81 00 Glass and Glazing,"Jamb, sill? Extensions.",General
Pre-Award,08 81 00 Glass and Glazing,Manufacturer’s recommendations on methods or thickness. Wind loading established.,General
Pre-Award,08 81 00 Glass and Glazing,Metal stools.,General
Pre-Award,08 81 00 Glass and Glazing,Pattern of wire glass reinforcing for symmetry.,General
Pre-Award,08 81 00 Glass and Glazing,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,08 81 00 Glass and Glazing,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,08 81 00 Glass and Glazing,Rolling scaffolding after floors installed?,General
Pre-Award,08 81 00 Glass and Glazing,Some or all of the items in this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,08 81 00 Glass and Glazing,Special framing or sub-frames.,General
Pre-Award,08 81 00 Glass and Glazing,Tempered glass at entrance doors and sidelights.,General
Pre-Award,"084000 Alum Doors,Frames & Windows",,General
Pre-Award,"084000 Alum Doors,Frames & Windows",Anchor requirements.,General
Pre-Award,"084000 Alum Doors,Frames & Windows",Check area codes to insure conformance for entries.,General
Pre-Award,"084000 Alum Doors,Frames & Windows",Hardware requirement.,General
Pre-Award,"084000 Alum Doors,Frames & Windows",Miscellaneous metal requirements.,General
Pre-Award,"084000 Alum Doors,Frames & Windows",Recess/blackout requirements.,General
Pre-Award,"084000 Alum Doors,Frames & Windows","Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,"084000 Alum Doors,Frames & Windows",Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,"084000 Alum Doors,Frames & Windows",Scaffolding requirements.,General
Pre-Award,"084000 Alum Doors,Frames & Windows",Schedule.,General
Pre-Award,"084000 Alum Doors,Frames & Windows",Shop drawings approved.,General
Pre-Award,"084000 Alum Doors,Frames & Windows",Some or all of the items in this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,"084000 Alum Doors,Frames & Windows",Sub to coordinate interior finish with general contractor to insure proper “fit-up” of intended finishes.,General
Pre-Award,"084000 Alum Doors,Frames & Windows","Subs to guarantee fit tolerances, weather tight conditions at application.",General
Pre-Award,09 29 00 Gypsum Board,All sheet rock to be held up off floor a minimum of ½”,General
Pre-Award,09 29 00 Gypsum Board,Are architects details accurate according to code or will they need upgrading later at an inflated extra cost?,General
Pre-Award,09 29 00 Gypsum Board,Caulking (sound) at top and bottom of drywall.,General
Pre-Award,09 29 00 Gypsum Board,Ceiling texture and wall texture.,General
Pre-Award,09 29 00 Gypsum Board,"Cost for gypsum board systems must include all fasteners, glue acoustic sealant, insulation, vapor barrier.",General
Pre-Award,09 29 00 Gypsum Board,Door bucks – for doors to receive wood jambs.,General
Pre-Award,09 29 00 Gypsum Board,Draft stopping – between floors and in attic including misc. framing.,General
Pre-Award,09 29 00 Gypsum Board,Dumpsters / trash removal.,General
Pre-Award,09 29 00 Gypsum Board,Expedite shaft construction for temporary elevators.,General
Pre-Award,09 29 00 Gypsum Board,FRP panels.,General
Pre-Award,09 29 00 Gypsum Board,Get unit prices for each different type of partition.,General
Pre-Award,09 29 00 Gypsum Board,"H.M. Frames will be straight, true and plumb. If any excessive shimming or planning is necessary to install doors it will be a back charge to sub.",General
Pre-Award,09 29 00 Gypsum Board,Have drywaller build b/rooms from drawings along with partition shops.,General
Pre-Award,09 29 00 Gypsum Board,How will material be handled? Extra large hoist required?,General
Pre-Award,09 29 00 Gypsum Board,How will splices in the vapor barrier be treated?,General
Pre-Award,09 29 00 Gypsum Board,Installation of all access panels / doors.,General
Pre-Award,09 29 00 Gypsum Board,Layout.,General
Pre-Award,09 29 00 Gypsum Board,Prime walls and ceilings prior to texture.,General
Pre-Award,09 29 00 Gypsum Board,Proper screw placement.,General
Pre-Award,09 29 00 Gypsum Board,Protect fire sprinkler heads and pay for replacement.,General
Pre-Award,09 29 00 Gypsum Board,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,09 29 00 Gypsum Board,"Review special details where drywall work ties into other work such as masonry or concrete – or steel construction; curtain wall, acoustic ceilings.",General
Pre-Award,09 29 00 Gypsum Board,Scaffold and electric lift safety.,General
Pre-Award,09 29 00 Gypsum Board,"Sequencing of framing and hanging with duct, pipe conduit, etc on heavy MEP projects, i.e. hospitals.",General
Pre-Award,09 29 00 Gypsum Board,"Setting of hollow metal doorframes, if not included, takes alternate price or unit price.",General
Pre-Award,09 29 00 Gypsum Board,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,09 29 00 Gypsum Board,Special scaffolding such as for high ceilings allows use by other trades.,General
Pre-Award,09 29 00 Gypsum Board,Tape – float – finish.,General
Pre-Award,09 29 00 Gypsum Board,Taping must be of acceptable quality by the painters and Ryan supervision. Once the wall is primed the painter accepts construction and taping as acceptable.,General
Pre-Award,09 29 00 Gypsum Board,Touch-up – misc. punch list.,General
Pre-Award,09 29 00 Gypsum Board,Walls must be framed to meet codes. Fire rated walls will be sealed using a UL approved system including fire caulk and match the system approved by Ryan for the entire building; cost for labor and materials to be included.,General
Pre-Award,09 29 00 Gypsum Board,"When partitions are specified to have sound ratings, check to see that mechanical and electrical wall penetrations don’t defeat such ratings, if so advise the architect.",General
Pre-Award,09 29 00 Gypsum Board,Who provides field layout work?,General
Pre-Award,09 30 00 Tile and Stone Tile,,General
Pre-Award,09 30 00 Tile and Stone Tile,Acceptance of finish at plant before shipment.,General
Pre-Award,09 30 00 Tile and Stone Tile,Accessories – type determines who installs.,General
Pre-Award,09 30 00 Tile and Stone Tile,"Angle supports if required, furnished by whom? Who aligns?",General
Pre-Award,09 30 00 Tile and Stone Tile,Block size?,General
Pre-Award,09 30 00 Tile and Stone Tile,Book matching.,General
Pre-Award,09 30 00 Tile and Stone Tile,Breaking responsibility in transit – type of packing?,General
Pre-Award,09 30 00 Tile and Stone Tile,"Color and size samples submitted, approved and identical to materials used.",General
Pre-Award,09 30 00 Tile and Stone Tile,"Compatibility of materials in contact both with each other and with substrata, in thin-set operations.",General
Pre-Award,09 30 00 Tile and Stone Tile,Cut and caulk tile on control joints.,General
Pre-Award,09 30 00 Tile and Stone Tile,"Epoxy grout and mortar, organic adhesive, dry set wall mortar and polyester and/or polyacrylic from approved Manufacturers whose recommendations are followed.",General
Pre-Award,09 30 00 Tile and Stone Tile,Expansion joint layouts.,General
Pre-Award,09 30 00 Tile and Stone Tile,Get unit prices.,General
Pre-Award,09 30 00 Tile and Stone Tile,Have architect do shop on where cuts should be.,General
Pre-Award,09 30 00 Tile and Stone Tile,Inspection of waterproof membrane.,General
Pre-Award,09 30 00 Tile and Stone Tile,Proper bedding of floor tile.,General
Pre-Award,09 30 00 Tile and Stone Tile,"Quarried, weather?",General
Pre-Award,09 30 00 Tile and Stone Tile,Reasonable size samples showing variations.,General
Pre-Award,09 30 00 Tile and Stone Tile,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,09 30 00 Tile and Stone Tile,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,09 30 00 Tile and Stone Tile,Samples.,General
Pre-Award,09 30 00 Tile and Stone Tile,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,09 30 00 Tile and Stone Tile,Special shapes provided and installed to match field tile in color and texture.,General
Pre-Award,09 30 00 Tile and Stone Tile,"Stair treads, rubber base inside and outside corners, VCT, tile, carpet and pad.",General
Pre-Award,09 30 00 Tile and Stone Tile,Sub slabs or walls within tolerances for line and grade.,General
Pre-Award,09 30 00 Tile and Stone Tile,Tile adhesive – compatibility with curing compounds.,General
Pre-Award,09 30 00 Tile and Stone Tile,Unit price for cutting of base to match floor slab.,General
Pre-Award,09 30 00 Tile and Stone Tile,Veining to be selected or to accept as cut from blocks.,General
Pre-Award,09 30 00 Tile and Stone Tile,Who provides – scratch coat back of wall tile.,General
Pre-Award,09 51 00 Acoustical Ceilings,Aluminum suspended ceiling grid for high moisture applications.,General
Pre-Award,09 51 00 Acoustical Ceilings,Center light fixtures in room.,General
Pre-Award,09 51 00 Acoustical Ceilings,Complete job?,General
Pre-Award,09 51 00 Acoustical Ceilings,Hold down clips required?,General
Pre-Award,09 51 00 Acoustical Ceilings,Humidity requirements of material used – will building provide them when installation takes place?,General
Pre-Award,09 51 00 Acoustical Ceilings,"Integrated ceilings: A-Support elements – type, B-Wire rods and/or miscellaneous iron, C-Ceiling systems.",General
Pre-Award,09 51 00 Acoustical Ceilings,"Metal closures at ceiling breaks, Venetian blind pockets, etc. Other special perimeter – details.",General
Pre-Award,09 51 00 Acoustical Ceilings,"Omit titles temporarily to install sound barriers at partitions, at fixtures, to balance HVAC.",General
Pre-Award,09 51 00 Acoustical Ceilings,Patch spray fireproofing.,General
Pre-Award,09 51 00 Acoustical Ceilings,Price change if direction channels changed?,General
Pre-Award,09 51 00 Acoustical Ceilings,"Provide own scaffolds, extent of cleared area.",General
Pre-Award,09 51 00 Acoustical Ceilings,Read the print - “AFF” means above - finished - floor.,General
Pre-Award,09 51 00 Acoustical Ceilings,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,09 51 00 Acoustical Ceilings,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,09 51 00 Acoustical Ceilings,Remaining material to be taken off-site by ceiling contractor.,General
Pre-Award,09 51 00 Acoustical Ceilings,"Removable panels, molding.",General
Pre-Award,09 51 00 Acoustical Ceilings,Review acceptable ceiling wire attachments.,General
Pre-Award,09 51 00 Acoustical Ceilings,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,09 51 00 Acoustical Ceilings,Special work for P.A. systems.,General
Pre-Award,09 51 00 Acoustical Ceilings,"Splines, special splines to permit panel removal.",General
Pre-Award,09 51 00 Acoustical Ceilings,Tents over light fixtures for fire rating.,General
Pre-Award,09 51 00 Acoustical Ceilings,"Tolerances, creep, meet work of other trades, and accommodate structure at perimeter.",General
Pre-Award,09 51 00 Acoustical Ceilings,Type and gauge of hanger wire?,General
Pre-Award,09 51 00 Acoustical Ceilings,Will hanger wire be attached to structural or from deck?,General
Pre-Award,09 68 00 Carpet,Anti-static qualities.,General
Pre-Award,09 68 00 Carpet,Before or after partitions.,General
Pre-Award,09 68 00 Carpet,Carpets sewn or seamless construction – where are seams located?,General
Pre-Award,09 68 00 Carpet,Establish acceptance before owner move-in.,General
Pre-Award,09 68 00 Carpet,Hoisting.,General
Pre-Award,09 68 00 Carpet,"If glue-down, acceptable tolerance of concrete? Sealer?",General
Pre-Award,09 68 00 Carpet,Pattern and color consistencies - who pays if it is not acceptable?,General
Pre-Award,09 68 00 Carpet,"Pile height, pitch, number of “wires”, etc.",General
Pre-Award,09 68 00 Carpet,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,09 68 00 Carpet,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,09 68 00 Carpet,Re-stretch (check specs).,General
Pre-Award,09 68 00 Carpet,Sales tax separately stated.,General
Pre-Award,09 68 00 Carpet,Same dye lots available?,General
Pre-Award,09 68 00 Carpet,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,09 68 00 Carpet,"Tacked to nailing strips installed by others, or tactless method, who furnishes and installs tactless strips?",General
Pre-Award,09 68 00 Carpet,Type of adhesive being used.,General
Pre-Award,09 68 00 Carpet,"Type of weaving (Wilton, Administer, Velvet, etc.)",General
Pre-Award,09 68 00 Carpet,Waste factor.,General
Pre-Award,09 68 00 Carpet,Watch clearance for door and folding partitions.,General
Pre-Award,"09 90 00 Paints, Stains & Coatings",Color samples.,General
Pre-Award,"09 90 00 Paints, Stains & Coatings",Consider concrete cure time for schedule.,General
Pre-Award,"09 90 00 Paints, Stains & Coatings",Do you have a plan for separating harmful vapors from areas other trades or public are working?,General
Pre-Award,"09 90 00 Paints, Stains & Coatings","How many coats, sq. ft. coverage per gallon.",General
Pre-Award,"09 90 00 Paints, Stains & Coatings",Minor wall T/U included – no B.C.’s.,General
Pre-Award,"09 90 00 Paints, Stains & Coatings",Over spray.,General
Pre-Award,"09 90 00 Paints, Stains & Coatings",Painter paints wall they accept it.,General
Pre-Award,"09 90 00 Paints, Stains & Coatings",Prime then allow drywall touch-up and then paint.,General
Pre-Award,"09 90 00 Paints, Stains & Coatings","Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,"09 90 00 Paints, Stains & Coatings",Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,"09 90 00 Paints, Stains & Coatings",Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,"09 90 00 Paints, Stains & Coatings",Submittal schedule - how many days from approval to putting paint on?,General
Pre-Award,10 21 13 Toilet Partitions,Any damage leads to electrostatic painting.,General
Pre-Award,10 21 13 Toilet Partitions,Backing.,General
Pre-Award,10 21 13 Toilet Partitions,Delivery date.,General
Pre-Award,10 21 13 Toilet Partitions,Exit light layout.,General
Pre-Award,10 21 13 Toilet Partitions,"Field measure, if possible.",General
Pre-Award,10 21 13 Toilet Partitions,Finish schedule.,General
Pre-Award,10 21 13 Toilet Partitions,Floor penetrations.,General
Pre-Award,10 21 13 Toilet Partitions,"Layout ceiling supports to avoid ducts? Lights? Install before upper floor finished, ceiling installed.",General
Pre-Award,10 21 13 Toilet Partitions,Light fixture layout.,General
Pre-Award,10 21 13 Toilet Partitions,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,10 21 13 Toilet Partitions,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,10 21 13 Toilet Partitions,Reinforcing for paraplegic grab bars.,General
Pre-Award,10 21 13 Toilet Partitions,Responsibility for damage after installation.,General
Pre-Award,10 21 13 Toilet Partitions,"Sales tax, (state included) must be separately shown on invoices.",General
Pre-Award,10 21 13 Toilet Partitions,Shop drawings.,General
Pre-Award,10 21 13 Toilet Partitions,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,10 21 13 Toilet Partitions,Sprinkler head layout.,General
Pre-Award,10 21 13 Toilet Partitions,Vertical transportation.,General
Pre-Award,11 00 00 Dock Equipment,Delivery schedule?,General
Pre-Award,11 00 00 Dock Equipment,Lead times.,General
Pre-Award,11 00 00 Dock Equipment,Need accurate shops and who supplies every piece.,General
Pre-Award,11 00 00 Dock Equipment,Pit angle availability.,General
Pre-Award,11 00 00 Dock Equipment,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,11 00 00 Dock Equipment,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,11 00 00 Dock Equipment,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Access panels / doors.,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Based requirements for fire pump starter and jockey pump,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Check plans for future area to be protected and provisions for same.,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,"Coordination, who has priority?",General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Fire extinguisher cabinets and extinguishers?,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Fire hose cabinets.,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Fire pump size verified,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,"Heads centered in acoustic tile - +I~ tolerance? If sprinkler pipes installed first, acoustical subcontractor to meet same lines so nipples are in correct location.",General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Include temporary standpipe and connections for multi-story building.,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Layouts approved,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Mechanical pads.,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Number of lifts figured.,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Sandwich bag heads at painted areas.,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Set all motors and controls – coordinate with electrical contractor.,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Shop drawings.,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Shops – FM approval or other authorities.,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Size of crew.,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Sprinkler head type approved,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Sprinkler laundry/linen,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Sub needs to be involved with city and fire department at the time of C.O.,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Sub needs to be on board soon and coordinate with site utilities where mains will supply building.,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Temporary standpipe system for multi-story buildings approved by fire department,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Type of heads.,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Underwriter’s approval required for owner’s record.,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,"Unit price to replace a sprinkler head (due to paint, drywall, mud, etc.).",General
Pre-Award,21 13 00 Automatic Sprinkler Systems,"Unit prices – what and where applicable,",General
Pre-Award,21 13 00 Automatic Sprinkler Systems,"Unit prices for plus or minus heads required by structural or architectural changes; subcontractor to be responsible for sufficient heads required by F.I.A., Underwriters, etc.?",General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Verify flow and pressure of city/county supply.,General
Pre-Award,21 13 00 Automatic Sprinkler Systems,Which rating organization has jurisdiction?,General
Pre-Award,22 00 00 Plumbing,Access doors and frames included.,General
Pre-Award,22 00 00 Plumbing,Access panels/doors if fire rated if applicable.,General
Pre-Award,22 00 00 Plumbing,Are roof drains insulated?,General
Pre-Award,22 00 00 Plumbing,Check bidders on HVAC and plumbing on discrepancies or omissions from specifications affecting other bidders.,General
Pre-Award,22 00 00 Plumbing,Check inverts for storm sewer conditions.,General
Pre-Award,22 00 00 Plumbing,Contract item list and schedule of equipment.,General
Pre-Award,22 00 00 Plumbing,Coordination of work with other trades.,General
Pre-Award,22 00 00 Plumbing,Cutting and patching if any.,General
Pre-Award,22 00 00 Plumbing,Furnish and install access panels?,General
Pre-Award,22 00 00 Plumbing,Is irrigation R.I. included in bid? If applicable.,General
Pre-Award,22 00 00 Plumbing,Normal working hours.,General
Pre-Award,22 00 00 Plumbing,"Plumbing shaft in b/rooms/cut studs, etc.",General
Pre-Award,22 00 00 Plumbing,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,22 00 00 Plumbing,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,22 00 00 Plumbing,Remove excavation spoils.,General
Pre-Award,22 00 00 Plumbing,Review codes.,General
Pre-Award,22 00 00 Plumbing,Roll in H.C. showers.,General
Pre-Award,22 00 00 Plumbing,Sequence of stub through floors for pour and then sequence to come back later.,General
Pre-Award,22 00 00 Plumbing,Shop drawings.,General
Pre-Award,22 00 00 Plumbing,"Size of access openings required to bring in equipment, larger than furnished openings? Are the adequate?",General
Pre-Award,22 00 00 Plumbing,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,22 00 00 Plumbing,Under mount bowls at vanity’s (to be coordinated with marble supplier),General
Pre-Award,22 00 00 Plumbing,Unit prices – check specs for requirements.,General
Pre-Award,22 00 00 Plumbing,Wheel wash stations as required.,General
Pre-Award,22 00 00 Plumbing,Who obtains permits? Ensure local licensing is complied with.,General
Pre-Award,22 00 00 Plumbing,Who sets sleeves cut holes (metal deck)?,General
Pre-Award,23 00 00  HVAC,Access to machine rooms for equipment installation. Does any equipment have to be delivered knocked down?,General
Pre-Award,23 00 00  HVAC,Check bidders on HVAC and plumbing on discrepancies for omissions from specifications affecting other bidders.,General
Pre-Award,23 00 00  HVAC,Check requirement for temporary ventilation.,General
Pre-Award,23 00 00  HVAC,Codes.,General
Pre-Award,23 00 00  HVAC,Compatibility of size and configuration with system?,General
Pre-Award,23 00 00  HVAC,Compatibility with other materials?,General
Pre-Award,23 00 00  HVAC,"Concrete, excavation and site work – who is responsible and for how long?",General
Pre-Award,23 00 00  HVAC,"Definition of applicability, i.e. before other systems installed.",General
Pre-Award,23 00 00  HVAC,Discuss the possible need to start HVAC equipment for construction use and how to protect the units from consturcion dust. Pre- filtering with DL-10 at the air duct works well.,General
Pre-Award,23 00 00  HVAC,Document how the sub intends to provide fall protection during the roof deck cutting process.,General
Pre-Award,23 00 00  HVAC,Document the roof cover detail that the sub will provide after the cubrs are installed. Consider fall protection and weather protection.,General
Pre-Award,23 00 00  HVAC,Drywall will need consideration (ductwork cannot always go first).,General
Pre-Award,23 00 00  HVAC,Establish how the curbs will be leveled and by whom. Split curbs vs shimming.,General
Pre-Award,23 00 00  HVAC,"Establish markup on own work, also on subcontractors work.",General
Pre-Award,23 00 00  HVAC,"Establish sheet metal unit price on a per-pound installed basis, including all waste, hangers, drafting, markup, etc. Establish minimum perimeter and takeoff to be on centerline length times the perimeter. Establish units for accessories.",General
Pre-Award,23 00 00  HVAC,For tilts - need any exhaust penetrations way up front.,General
Pre-Award,23 00 00  HVAC,Good for life of job; establish cutoff date.,General
Pre-Award,23 00 00  HVAC,How soon will the sub provide exact dimensions for roof frames and exact locations?,General
Pre-Award,23 00 00  HVAC,Maintain sufficient reserve on subcontract until system is operating properly. Check also the need for reserve on subcontractors.,General
Pre-Award,23 00 00  HVAC,Method of attachment?,General
Pre-Award,23 00 00  HVAC,Number of lifts.,General
Pre-Award,23 00 00  HVAC,Operating and maintenance instructions and as-built drawings properly transmitted to owner.,General
Pre-Award,23 00 00  HVAC,Pipe and Specialties - Access required for bringing in equipment? Verify that equipment will fit in available space.,General
Pre-Award,23 00 00  HVAC,Pipe and Specialties - Any question of voltage of motors?,General
Pre-Award,23 00 00  HVAC,Pipe and Specialties - Are all finishes as specified? Is canvas sized for painting?,General
Pre-Award,23 00 00  HVAC,Pipe and Specialties - Check duplication of external duct insulation and sound lining.,General
Pre-Award,23 00 00  HVAC,"Pipe and Specialties - Check responsibility for electrical wiring and low voltage interlocks of EP’s, PE’s, remote temperature indication, alarms, etc. Is control panel pre-wired?",General
Pre-Award,23 00 00  HVAC,"Pipe and Specialties - Check specifications for work (materials or erection) “by others”, i.e. cooling tower dun age beams. Inertia blocks, bases, etc.",General
Pre-Award,23 00 00  HVAC,Pipe and Specialties - Establish delivery date.,General
Pre-Award,23 00 00  HVAC,Pipe and Specialties - Expansion joints or loops – are they included where required by good practice whether or not shown?,General
Pre-Award,23 00 00  HVAC,Pipe and Specialties - Foreign or domestic manufacture?,General
Pre-Award,23 00 00  HVAC,"Pipe and Specialties - Inserts for hangers, check any question where concrete has gone ahead of HVAC award or ahead of coordination. Who pays?",General
Pre-Award,23 00 00  HVAC,Pipe and Specialties - Is any paint included?,General
Pre-Award,23 00 00  HVAC,Pipe and Specialties - Is duct work above hung ceilings?,General
Pre-Award,23 00 00  HVAC,"Pipe and Specialties - Is there an option on pneumatic or electrical controls? If so, what is bid based on? Does this affect electric contract?",General
Pre-Award,23 00 00  HVAC,"Pipe and Specialties - Machine bases, anchors, bolts, layout forms.",General
Pre-Award,23 00 00  HVAC,Pipe and Specialties - Obtain all sizes for all required housekeeping pads.,General
Pre-Award,23 00 00  HVAC,Pipe and Specialties - Responsibility for care of equipment prior to owner’s acceptance. Who cleans?,General
Pre-Award,23 00 00  HVAC,Pipe and Specialties - UL label required on insulation.,General
Pre-Award,23 00 00  HVAC,Pipe and Specialties - Welder certification.,General
Pre-Award,23 00 00  HVAC,Possibility of re-negotiating unit prices if extent of unit price work exceeds certain limits.,General
Pre-Award,23 00 00  HVAC,"Provide supervision for final inspection of dampers, operation, stair pressurization, smoke evacuation systems by local authorities.",General
Pre-Award,23 00 00  HVAC,Provisions for removal of construction dirt to prevent clogging of filters. Turn over in new condition?,General
Pre-Award,23 00 00  HVAC,"Refer to General Scope Considerations: All CSI Divisions, Page III-1, Section A.",General
Pre-Award,23 00 00  HVAC,Refer to related Project Specifications Section and Ryan Subcontractor Agreement.,General
Pre-Award,23 00 00  HVAC,Reinforcement requirements?,General
Pre-Award,23 00 00  HVAC,Review staff availability and competence.,General
Pre-Award,23 00 00  HVAC,Review the bar joist panel point loading restrictions typically detailed on the structural documents.,General
Pre-Award,23 00 00  HVAC,Sealant requirements?,General
Pre-Award,23 00 00  HVAC,Some or all of the items on this checklist should be incorporated into Exhibit A of the Subcontract.,General
Pre-Award,23 00 00  HVAC,Special precautions to prevent freezing of coils or damage during temporary use. Establish responsibility.,General
Pre-Award,23 00 00  HVAC,Temporary heat on 1-2-3 shift basis and maintenance.,General
Pre-Award,23 00 00  HVAC,Test results?,General
Pre-Award,23 00 00  HVAC,Type of hangers.,General
Pre-Award,23 00 00  HVAC,Unit price per ton or pound of sheet metal?,General
Pre-Award,23 00 00  HVAC,"Verify crew size, number and type (all terrain) of lifts that are needed. Establish sub ownership/buy in on schedule.",General
Pre-Award,23 00 00  HVAC,Who cuts metal deck? Who sets sleeves?,General
Pre-Award,23 00 00  HVAC,"Who goes first on shafts, duct, plumber or dry wall?",General
Pre-Award,23 00 00  HVAC,Who obtains permits and what permits are required?,General
Pre-Award,23 00 00  HVAC,Will HVAC subcontractor actually do the work or will it be further sublet?,General
Pre-Award,26 00 00 Electrical,Access panels/doors – fire rated if applicable.,General
Pre-Award,26 00 00 Electrical,"Allowances – including receiving, handling and installing.",General
Pre-Award,26 00 00 Electrical,"Always check where electrical subcontractors work ends and where equipment contractor’s work begins. Electrician usually furnishes disconnect switch, e.g. on roll up doors, elevators, dumbwaiters, etc. Who furnishes starters – type?",General
Pre-Award,26 00 00 Electrical,Basis for application of units.,General
Pre-Award,26 00 00 Electrical,"Check method of support of lighting fixtures, i.e. lay-in vs. channel supported. Is this information clear? Plaster frames?",General
Pre-Award,26 00 00 Electrical,Check spec. for unit prices required.,General
Pre-Award,26 00 00 Electrical,"Coordination of work with architectural, structural and mechanical trades.",General
Pre-Award,26 00 00 Electrical,"Date for permanent power, coordinate with electric utility.",General
Pre-Award,26 00 00 Electrical,Dates for tenant work.,General
Pre-Award,26 00 00 Electrical,Egg crate lenses.,General
Pre-Award,26 00 00 Electrical,"Establish dates for major equipment, generators, switchgear, panels and transformers, light fixtures.",General
Pre-Award,26 00 00 Electrical,Guestroom TV terminations & jacks with wire to OCV room.,General
Pre-Award,26 00 00 Electrical,"Guestroom, public areas, business administration terminations & jacks to computer room.",General
Pre-Award,26 00 00 Electrical,Hook-up Ryan’s and Owner’s jobsite trailers.,General
Pre-Award,26 00 00 Electrical,Kitchen equipment complete.,General
Pre-Award,26 00 00 Electrical,Light poles – light pole bases.,General
Pre-Award,26 00 00 Electrical,Lighting Compatibility with finishes.,General
